               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/cells_mAP,metrics/cells_mAP_50
                  33,            0.080479,              0.4433,                   0,             0.33222,             0.46429,             0.29911,             0.08334,            0.086339,             0.86169,                   0,            0.035322,           0.0023222,           0.0023222,             0.08334,             0.29911
                  34,             0.08047,             0.39219,                   0,             0.34111,             0.47671,             0.30519,             0.10394,            0.084109,             0.81372,                   0,            0.033255,           0.0022549,           0.0022549,             0.10394,             0.30519
                  35,            0.080084,             0.42207,                   0,             0.38111,             0.53261,             0.36333,             0.12247,            0.082441,             0.83801,                   0,             0.03118,           0.0021797,           0.0021797,             0.12247,             0.36333
                  36,             0.07856,             0.43112,                   0,             0.38111,             0.53261,             0.36333,             0.12247,            0.082441,             0.83801,                   0,            0.029097,           0.0020966,           0.0020966,             0.12247,             0.36333
                  37,            0.079436,             0.42897,                   0,             0.39222,             0.54814,             0.38956,             0.13754,            0.080721,              0.8457,                   0,            0.027006,           0.0020055,           0.0020055,             0.13754,             0.38956
                  38,            0.075368,             0.37213,                   0,             0.36889,             0.51553,             0.37175,              0.1346,            0.079654,             0.81323,                   0,            0.024907,           0.0019065,           0.0019065,              0.1346,             0.37175
                  39,             0.07456,              0.4013,                   0,             0.36889,             0.51553,             0.37175,              0.1346,            0.079654,             0.81348,                   0,              0.0228,           0.0017996,           0.0017996,              0.1346,             0.37175
                  40,            0.078677,             0.49097,                   0,             0.38222,             0.53416,             0.39296,             0.15074,            0.077805,             0.81726,                   0,            0.020685,           0.0016848,           0.0016848,             0.15074,             0.39296
                  41,            0.075609,             0.43059,                   0,             0.40333,             0.56366,             0.43456,             0.16927,            0.076742,             0.83936,                   0,            0.018562,           0.0015621,           0.0015621,             0.16927,             0.43456
                  42,            0.074494,             0.44802,                   0,             0.40333,             0.56366,             0.43456,             0.16927,            0.076742,             0.83936,                   0,            0.016431,           0.0014314,           0.0014314,             0.16927,             0.43456
                  43,            0.071996,             0.40122,                   0,             0.40778,             0.56988,              0.4622,             0.18228,            0.075243,             0.82324,                   0,            0.014293,           0.0012928,           0.0012928,             0.18228,              0.4622
                  44,            0.071451,             0.38875,                   0,             0.40778,             0.56988,              0.4622,             0.18228,            0.075243,             0.82373,                   0,            0.012146,           0.0011463,           0.0011463,             0.18228,              0.4622
                  45,            0.071663,             0.32333,                   0,             0.44778,             0.62578,             0.49666,             0.20504,            0.073994,               0.797,                   0,           0.0099919,           0.0009919,           0.0009919,             0.20504,             0.49666
                  46,            0.078541,             0.61054,                   0,             0.44778,             0.62578,             0.49666,             0.20504,            0.073994,             0.79736,                   0,           0.0078296,          0.00082956,          0.00082956,             0.20504,             0.49666
                  47,            0.071324,             0.35848,                   0,             0.45667,              0.6382,             0.50785,             0.21765,            0.072999,             0.78052,                   0,           0.0056593,           0.0006593,           0.0006593,             0.21765,             0.50785
                  48,            0.071618,             0.42436,                   0,             0.45667,              0.6382,             0.50785,             0.21765,            0.072999,              0.7804,                   0,           0.0034811,          0.00048112,          0.00048112,             0.21765,             0.50785
                  49,            0.070618,             0.39256,                   0,             0.45889,              0.6413,             0.52119,             0.22811,            0.072107,             0.77393,                   0,            0.001295,          0.00029502,          0.00029502,             0.22811,             0.52119
