               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,   metrics/cells_mAP,metrics/cells_mAP_50
                  33,            0.070701,             0.45588,                   0,             0.44222,             0.61801,             0.49771,             0.17615,            0.079026,              1.1825,                   0,             0.03897,           0.0059704,           0.0059704,             0.17615,             0.49771
                  34,            0.071665,             0.41314,                   0,             0.46444,             0.64907,             0.53129,             0.19536,            0.077672,              1.1235,                   0,            0.037126,           0.0061258,           0.0061258,             0.19536,             0.53129
                  35,            0.071914,               0.435,                   0,             0.42778,             0.59783,             0.48284,             0.17932,            0.075741,             0.97168,                   0,             0.03528,             0.00628,             0.00628,             0.17932,             0.48284
                  36,            0.071635,              0.4396,                   0,             0.42778,             0.59783,             0.48284,             0.17932,            0.075741,             0.97144,                   0,            0.033433,           0.0064328,           0.0064328,             0.17932,             0.48284
                  37,             0.07486,             0.44388,                   0,             0.44778,             0.62578,             0.52674,             0.17943,            0.081142,              1.2029,                   0,            0.031584,           0.0065842,           0.0065842,             0.17943,             0.52674
                  38,             0.07349,             0.40332,                   0,             0.44556,             0.62267,             0.49352,             0.20582,            0.077886,              0.8905,                   0,            0.029734,           0.0067344,           0.0067344,             0.20582,             0.49352
                  39,            0.068875,             0.41262,                   0,             0.44556,             0.62267,             0.49352,             0.20582,            0.077886,              0.8905,                   0,            0.027883,           0.0068833,           0.0068833,             0.20582,             0.49352
                  40,              0.0721,              0.4986,                   0,             0.47444,             0.66304,             0.59908,             0.22481,            0.073406,              1.1346,                   0,            0.026031,           0.0070308,           0.0070308,             0.22481,             0.59908
                  41,            0.068867,             0.45008,                   0,             0.56696,             0.73292,             0.67769,             0.29273,            0.072326,             0.97998,                   0,            0.024177,            0.007177,            0.007177,             0.29273,             0.67769
                  42,            0.070316,             0.47303,                   0,             0.56696,             0.73292,             0.67769,             0.29273,            0.072326,             0.98022,                   0,            0.022322,           0.0073219,           0.0073219,             0.29273,             0.67769
                  43,            0.067058,               0.418,                   0,                0.46,             0.64286,             0.57327,             0.23123,            0.076288,              1.0558,                   0,            0.020465,           0.0074655,           0.0074655,             0.23123,             0.57327
                  44,            0.068228,             0.40915,                   0,                0.46,             0.64286,             0.57327,             0.23123,            0.076288,              1.0552,                   0,            0.018608,           0.0076077,           0.0076077,             0.23123,             0.57327
                  45,            0.071017,             0.35664,                   0,             0.63701,             0.73447,             0.66362,             0.23438,            0.069014,             0.80408,                   0,            0.016749,           0.0077486,           0.0077486,             0.23438,             0.66362
                  46,            0.070755,             0.72246,                   0,             0.63701,             0.73447,             0.66362,             0.23438,            0.069014,             0.80396,                   0,            0.014888,           0.0078883,           0.0078883,             0.23438,             0.66362
                  47,            0.062308,             0.38387,                   0,             0.42962,             0.59938,             0.50344,             0.19437,            0.075033,             0.89868,                   0,            0.013027,           0.0080266,           0.0080266,             0.19437,             0.50344
